,id,sentence,subject_entity,object_entity,label
823,872,"딱정벌레목에 속한 곤충으로는 무당벌레, 딱정벌레, 길앞잡이, 물방개, 장수풍뎅이 등이 있다.","{'word': '딱정벌레목', 'start_idx': 0, 'end_idx': 4, 'type': 'CLS'}","{'word': '딱정벌레', 'start_idx': 22, 'end_idx': 25, 'type': 'INS'}",생물분류:하위분류
737,779,"말벌(학명: )은 말벌과 말벌아과 말벌속에 속하는 한 종으로서, 유라시아에 널리 분포한다.","{'word': '말벌속', 'start_idx': 19, 'end_idx': 21, 'type': 'CLS'}","{'word': '말벌', 'start_idx': 0, 'end_idx': 1, 'type': 'INS'}",생물분류:하위분류
999,1050,그러나 오스트레일리아에 있는 불독개미와 같은 일부 개미는 좋은 시력을 지니고 있다.,"{'word': '불독개미', 'start_idx': 16, 'end_idx': 19, 'type': 'INS'}","{'word': '좋은 시력', 'start_idx': 32, 'end_idx': 36, 'type': 'PHY'}",곤충:특성
441,445,"개미는 아가미가 없으므로, 물 밑에 개미집에 있는 배기 주머니에서 호흡을 한다.","{'word': '개미', 'start_idx': 0, 'end_idx': 1, 'type': 'INS'}","{'word': '아가미', 'start_idx': 4, 'end_idx': 6, 'type': 'PHY'}",관계없음
1206,1262,컴퓨터 과학과 로봇 공학에서는 분산 및 고장방지 문제 해결 시스템을 도출하기 위해 개미 군체에 쓰는 성공적인 연구 기법을 연구하였다.,"{'word': '개미', 'start_idx': 46, 'end_idx': 47, 'type': 'INS'}","{'word': '로봇', 'start_idx': 8, 'end_idx': 9, 'type': 'POH'}",관계없음
1097,1149,명주잠자리의 애벌레인 개미귀신은 모래에 개미지옥이라고 불리는 고깔모양의 함정을 짓고 개미가 오기를 기다린다.,"{'word': '개미귀신', 'start_idx': 12, 'end_idx': 15, 'type': 'INS'}","{'word': '개미지옥', 'start_idx': 22, 'end_idx': 25, 'type': 'POH'}",곤충:특성
498,502,"늦봄과 초여름철(4~6월)에는 일본왕개미(""Camponotus japonicus"")나 짱구개미(""Messor aciculatus""), 갈색발왕개미(""Camponotus kiusiuensis""), 한국홍가슴개미(""Camponotus atrox""), 스미스개미(""Paratrechina flavipes"")가 결혼비행을 하고, 초여름부터 여름철(6~8월) 사이에서는 곰개미(""Formica japonica""), 주름개미(""Tetramorium caespitum""), 고동털개미(""Lasius japonicus""), 숲곰개미(Formica hayashi), 불개미(Formica yessensis)등의 개미 종들이 그리고 늦여름이 지난 가을(9월~11월)에는 황개미(""Lasius flavus""), 가시개미(""Polyrhachis lamellidens""), 일본침개미(""Pachycondyla javana""), 노랑꼬리치레개미(""Crematogaster osakensis""), 사쿠라개미(""Paratrechina sakurae"") 등의 종들이 막바지의 혼인 비행을 진행한다.","{'word': '스미스개미', 'start_idx': 138, 'end_idx': 142, 'type': 'INS'}","{'word': '결혼비행', 'start_idx': 170, 'end_idx': 173, 'type': 'NOP'}",곤충:특성
39,40,"물방개의 어른벌레는 씹는 턱(저작형 구기)을 가지고 있지만, 물방개 애벌레는 수서노린재 종류들과 비슷하며 성체처럼 먹이를 씹어먹지 않고 체액을 흡즙한다. 3령단계의 물방개 유충은 몸길이가 9~10cm이며 물방개 유충의 먹이는 송사리, 올챙이, 장구벌레 등의 수서곤충 등이다.","{'word': '물방개 유충', 'start_idx': 92, 'end_idx': 97, 'type': 'INS'}","{'word': '송사리', 'start_idx': 126, 'end_idx': 128, 'type': 'NOI'}",곤충:먹이
803,852,"척추동물과 비교해보면, 대부분의 개미들은 시력이 좋지 못하며 땅 밑에 사는 종류 중 몇몇은 시력을 완전히 상실하였다.","{'word': '개미', 'start_idx': 18, 'end_idx': 19, 'type': 'INS'}","{'word': '척추동물', 'start_idx': 0, 'end_idx': 3, 'type': 'CLS'}",관계없음
1117,1170,어떤 현대 작가는 개미의 사례를 들어 사회와 인간의 관계를 논하기도 했다.,"{'word': '개미', 'start_idx': 10, 'end_idx': 11, 'type': 'INS'}","{'word': '인간의 관계', 'start_idx': 25, 'end_idx': 30, 'type': 'POH'}",관계없음
1113,1166,"이들 갈색거저리와 흰점박이꽃무지 유충은 애칭 공모를 통해 각각 '고소애'와 '꽃뱅이'란 이름으로 불리고 있으며, 장수풍뎅이 유충과 귀뚜라미도 한시적인 식품 원료로 인정되었다.","{'word': '갈색거저리', 'start_idx': 3, 'end_idx': 7, 'type': 'INS'}","{'word': '고소애', 'start_idx': 36, 'end_idx': 38, 'type': 'INS'}",곤충:별칭
325,328,"하루살이류(mayfly, shadefly)는 하루살이목에 속하는 곤충의 총칭이다.","{'word': '곤충', 'start_idx': 36, 'end_idx': 37, 'type': 'CLS'}","{'word': '하루살이류', 'start_idx': 0, 'end_idx': 4, 'type': 'CLS'}",생물분류:하위분류
0,0,"곤충은 몸의 맨 위쪽을 따라 길고 좁으며 관통되어 있는 관(""복대동맥"":dorsal aorta라고 불린다)을 지녔고, 그것은 심장과 같은 역할을 하며, 머리에 피림프(haemolymph:무척추 동물의 혈액)를 펌프처럼 퍼올려 주어서 인체 내의 체액을 순환시켜준다.","{'word': '곤충', 'start_idx': 0, 'end_idx': 1, 'type': ‘CLS'}","{'word': '복대동맥', 'start_idx': 34, 'end_idx': 37, 'type': 'PHY'}",생물분류:특징
100,103,"개미의 애벌레는 Trophic egg나 척후 개미가 주어온 먹이감 조각과 씨앗같은 고체 먹이를 먹기도 하며, 어떤 종은 잡아온 먹이를 바로 갖다주기도 한다.","{'word': '개미의 애벌레', 'start_idx': 0, 'end_idx': 6, 'type': 'INS'}","{'word': '고체 먹이', 'start_idx': 46, 'end_idx': 50, 'type': 'POH'}",곤충:먹이
107,110,한국에 서식하는 바퀴벌레는 모두 2과 7종으로 알려졌으나 다시 정리되어 3과 10종이 되었다.,"{'word': '바퀴벌레', 'start_idx': 9, 'end_idx': 12, 'type': 'INS'}","{'word': '한국', 'start_idx': 0, 'end_idx': 1, 'type': 'LOC'}",곤충:서식지
658,681,나방은 나비목 곤충 중에 나비를 제외한 나머지를 두루 일컫는 말이다.,"{'word': '나비목', 'start_idx': 4, 'end_idx': 6, 'type': 'CLS'}","{'word': '나비', 'start_idx': 14, 'end_idx': 15, 'type': 'INS'}",생물분류:하위분류
1092,1143,"장수풍뎅이(""Allomyrina dichotoma"", )는 장수풍뎅이아과의 곤충이다.","{'word': '장수풍뎅이', 'start_idx': 0, 'end_idx': 4, 'type': 'INS'}","{'word': 'Allomyrina dichotoma', 'start_idx': 7, 'end_idx': 26, 'type': 'INS'}",곤충:별칭
643,658,나비보다 더 통통하고 쉴 때는 수평으로 날개를 편다.,"{'word': '나비', 'start_idx': 0, 'end_idx': 1, 'type': 'INS'}","{'word': '날개', 'start_idx': 22, 'end_idx': 23, 'type': 'POH'}",곤충:특성
981,1031,개미의 크기는 0.75mm에서 52mm에 이르기까지 다양하다.,"{'word': '개미', 'start_idx': 0, 'end_idx': 1, 'type': 'INS'}","{'word': '0.75mm에서 52mm', 'start_idx': 8, 'end_idx': 20, 'type': 'NOH'}",곤충:특성
56,57,"장수풍뎅이는 다음해 초여름에 땅 속으로 들어가서 번데기가 되었다가, 총 3령의 유충 단계와 전용 단계,번데기를 거쳐서 15~20일 뒤에 성충으로 우화한다.","{'word': '장수풍뎅이', 'start_idx': 0, 'end_idx': 4, 'type': 'INS'}","{'word': '번데기', 'start_idx': 57, 'end_idx': 59, 'type': 'PHY'}",곤충:특성
530,534,그 다음 개미의 몸통을 잘라내어 머리와 큰턱이 닫힌 상처 부위에 남겨놓는다.,"{'word': '개미', 'start_idx': 5, 'end_idx': 6, 'type': 'INS'}","{'word': '큰턱', 'start_idx': 22, 'end_idx': 23, 'type': 'PHY'}",곤충:특성
177,180,태국과 중국 등의 일부 지역에서는 일부의 바퀴벌레 종이 식용으로 사용되기도 한다.,"{'word': '바퀴벌레', 'start_idx': 23, 'end_idx': 26, 'type': 'INS'}","{'word': '태국', 'start_idx': 0, 'end_idx': 1, 'type': 'LOC'}",관계없음
1216,1272,수채 시절에는 허물을 벗는데 수채 시절에 벗은 허물은 물방개가 모조리 먹어치운다.,"{'word': '물방개', 'start_idx': 30, 'end_idx': 32, 'type': 'INS'}","{'word': '벗은 허물', 'start_idx': 23, 'end_idx': 27, 'type': 'POH'}",곤충:먹이
1055,1106,"개미는 개밋과에 속하는 진사회성 곤충의 총칭으로, 말벌상과, 벌과 더불어 벌목에 속한다.","{'word': '벌목', 'start_idx': 41, 'end_idx': 42, 'type': 'CLS'}","{'word': '개미', 'start_idx': 0, 'end_idx': 1, 'type': 'INS'}",생물분류:하위분류
589,597,"벼의 큰 해충인 이화명나방을 비롯하여 명나방(조·옥수수 등), 밤나방(대부분의 채소), 각종 잎말이나방, 하늘나방(벚나무·복숭아나무·사과나무·배나무 등), 매미나방·텐트나방(대부분의 수목) 등 많은 종류의 농림 및 원예의 해충이 있으며, 가로수·정원수를 해쳐서 화제가 된 미국흰불나방도 있다.","{'word': '명나방', 'start_idx': 21, 'end_idx': 23, 'type': 'INS'}","{'word': '벼', 'start_idx': 0, 'end_idx': 0, 'type': 'POH'}",관계없음
1070,1121,"그외 곤충의 체액을 빨아먹는 육식성 동물들인 침노린재, 거미, 소금쟁이 등도 개미의 천적이다.","{'word': '거미', 'start_idx': 31, 'end_idx': 32, 'type': 'INS'}","{'word': '육식성', 'start_idx': 16, 'end_idx': 18, 'type': 'NOP'}",곤충:특성
860,909,"붉은불개미(""Solenopsis invicta"")는 대립유전자가 하나만 달라도, 그 차이가 해당 군체에 여왕개미가 하나일지 아니면 여럿일지를 결정한다.","{'word': '여왕개미', 'start_idx': 58, 'end_idx': 61, 'type': 'INS'}","{'word': '붉은불개미', 'start_idx': 0, 'end_idx': 4, 'type': 'INS'}",관계없음
298,301,"한국에는 바퀴, 집바퀴, 이질바퀴, 먹바퀴 4종을 위생해충으로 보고 있다.","{'word': '집바퀴', 'start_idx': 9, 'end_idx': 11, 'type': 'INS'}","{'word': '위생해충', 'start_idx': 28, 'end_idx': 31, 'type': 'NOP'}",곤충:특성
783,832,"종령 단계에서 우화한 것은 사실 하루살이의 성충이 아니라 '아성충'(버금어른벌레, subimago)으로 불리는데, 하루살이의 아성충은 날아오른 후 다른 곳에서 다시 탈피를 하여 성적으로 성숙한 진짜 하루살이의 성충이 된다.","{'word': '하루살이의 성충', 'start_idx': 18, 'end_idx': 25, 'type': 'INS'}","{'word': '아성충', 'start_idx': 33, 'end_idx': 35, 'type': 'INS'}",관계없음
1130,1184,동화나 우화에서 개미는 대개 부지런하고 협동적인 성격으로 묘사된다.,"{'word': '개미', 'start_idx': 9, 'end_idx': 10, 'type': 'INS'}","{'word': '협동적인 성격', 'start_idx': 22, 'end_idx': 28, 'type': 'NOP'}",곤충:특성
379,383,새로운 곳으로 이출(移出)할 경우 계속 단물을 공급받고자 진디도 함께 데려가는 개미 군체가 많다.,"{'word': '개미', 'start_idx': 44, 'end_idx': 45, 'type': 'INS'}","{'word': '진디', 'start_idx': 32, 'end_idx': 33, 'type': 'INS'}",곤충:공생
221,224,"모기의 천적으로는 성충을 잡아먹는 박쥐, 파리매, 잠자리, 사마귀, 거미가 있고, 유충을 잡아먹는 물방개의 애벌레, 미꾸라지, 물장군의 애벌레, 잠자리의 애벌레, 가물치, 메기, 잉어 등 수중 생물이 있다.","{'word': '모기', 'start_idx': 0, 'end_idx': 1, 'type': 'INS'}","{'word': '잠자리의 애벌레', 'start_idx': 81, 'end_idx': 88, 'type': 'INS'}",곤충:천적
1147,1201,"전세계적으로 해충으로 분류되는 개미로는 도로개미(""Tetramorium caespitum"". 주름개미속의 일종) 노랑미친개미(""Anoplolepis gracilipes""), 설탕개미(""Camponotus consobrinus"". 왕개미의 일종), 애집개미(""Monomorium pharaonis""), 목수개미, 아르헨티나 개미(""Linepithema humile""), 코코넛개미(""Tapinoma sessile""), 붉은불개미(""Solenopsis invicta"". 열마디개미의 일종), 유럽불개미(""Myrmica rubra"". 이름과는 달리 뿔개미의 일종)가 있다.","{'word': '아르헨티나 개미', 'start_idx': 174, 'end_idx': 181, 'type': 'INS'}","{'word': 'Linepithema humile', 'start_idx': 184, 'end_idx': 201, 'type': 'INS'}",곤충:별칭
810,859,진딧물과 공생관계이다.,"{'word': '진딧물', 'start_idx': 0, 'end_idx': 2, 'type': 'INS'}","{'word': '공생관계', 'start_idx': 5, 'end_idx': 8, 'type': 'NOP'}",곤충:특성
980,1030,공벌레(콩벌레)와도 근연 관계이다.,"{'word': '공벌레', 'start_idx': 0, 'end_idx': 2, 'type': 'INS'}","{'word': '근연 관계', 'start_idx': 11, 'end_idx': 15, 'type': 'NOP'}",곤충:특성
500,504,"늦봄과 초여름철(4~6월)에는 일본왕개미(""Camponotus japonicus"")나 짱구개미(""Messor aciculatus""), 갈색발왕개미(""Camponotus kiusiuensis""), 한국홍가슴개미(""Camponotus atrox""), 스미스개미(""Paratrechina flavipes"")가 결혼비행을 하고, 초여름부터 여름철(6~8월) 사이에서는 곰개미(""Formica japonica""), 주름개미(""Tetramorium caespitum""), 고동털개미(""Lasius japonicus""), 숲곰개미(Formica hayashi), 불개미(Formica yessensis)등의 개미 종들이 그리고 늦여름이 지난 가을(9월~11월)에는 황개미(""Lasius flavus""), 가시개미(""Polyrhachis lamellidens""), 일본침개미(""Pachycondyla javana""), 노랑꼬리치레개미(""Crematogaster osakensis""), 사쿠라개미(""Paratrechina sakurae"") 등의 종들이 막바지의 혼인 비행을 진행한다.","{'word': '주름개미', 'start_idx': 227, 'end_idx': 230, 'type': 'INS'}","{'word': '혼인 비행', 'start_idx': 529, 'end_idx': 533, 'type': 'NOP'}",곤충:특성
190,193,"쉽게 말하자면, 황열병이나 뎅기열 같은 아르보바이러스성 질병은 보통모기아과에 의해 전염되는 경향이 있으나, 반드시 집모기(""Culex"")로 전염되는 것은 아니다.","{'word': '보통모기아과', 'start_idx': 35, 'end_idx': 40, 'type': 'CLS'}","{'word': '황열병', 'start_idx': 9, 'end_idx': 11, 'type': 'POH'}",곤충:특성
881,930,"꿀단지 개미는 젊은 일개미가 배를 가득 채울만큼 먹이를 받아먹고, 살아있는 음식 이동 저장창고의 역할을 한다.","{'word': '일개미', 'start_idx': 11, 'end_idx': 13, 'type': 'INS'}","{'word': '꿀단지 개미', 'start_idx': 0, 'end_idx': 5, 'type': 'INS'}",관계없음
312,315,"풀잠자리목(Neuroptera) 또는 맥시목(脈翅目)은 풀잠자리, 명주잠자리 등을 통틀은 분류이다.","{'word': '맥시목', 'start_idx': 21, 'end_idx': 23, 'type': 'CLS'}","{'word': '풀잠자리', 'start_idx': 31, 'end_idx': 34, 'type': 'INS'}",생물분류:하위분류
1272,1330,잠자리는 짝짓기를 마친 후 물 속이나 물가 근처 식물에 알을 낳는다.,"{'word': '잠자리', 'start_idx': 0, 'end_idx': 2, 'type': 'INS'}","{'word': '물가 근처 식물', 'start_idx': 21, 'end_idx': 28, 'type': 'LOC'}",관계없음
880,929,"꿀단지 개미는 젊은 일개미가 배를 가득 채울만큼 먹이를 받아먹고, 살아있는 음식 이동 저장창고의 역할을 한다.","{'word': '꿀단지 개미', 'start_idx': 0, 'end_idx': 5, 'type': 'INS'}","{'word': '음식 이동 저장창고', 'start_idx': 42, 'end_idx': 51, 'type': 'POH'}",곤충:특성
277,280,왕바퀴류 등은 산란관의 일부가 부풀어서 자궁 모양이 되며 난태생을 한다.,"{'word': '왕바퀴류', 'start_idx': 0, 'end_idx': 3, 'type': 'CLS'}","{'word': '산란관', 'start_idx': 8, 'end_idx': 10, 'type': 'PHY'}",곤충:특성
626,641,모기·모기붙이·등에·파리매·똥파리·초파리·집파리·쇠파리·쉬파리·각다귀 등이 이에 포함된다.,"{'word': '모기', 'start_idx': 0, 'end_idx': 1, 'type': 'INS'}","{'word': '쉬파리', 'start_idx': 31, 'end_idx': 33, 'type': 'INS'}",관계없음
